"Bron/techniek";"Energietoepassingen";"Perioden";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2010";"   10339";"     585"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2011";"   10745";"     607"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2012";"   10480";"     592"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2013";"   10706";"     605"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2014";"   10799";"     609"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2015";"   10847";"     613"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2016";"   10874";"     614"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2017";"   10932";"     619"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2018";"   11115";"     629"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2019";"   11168";"     632"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2020";"   11215";"     633"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2021";"   11389";"     642"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2022";"   11507";"     650"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2023";"   11600";"     653"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2024**";"   11680";"     656"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2010";"     284";"      16"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2011";"     276";"      16"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2012";"     268";"      15"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2013";"     260";"      15"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2014";"     252";"      14"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2015";"     244";"      14"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2016";"     237";"      13"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2017";"     229";"      13"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2018";"     221";"      13"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2019";"     211";"      12"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2020";"     202";"      11"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2021";"     194";"      11"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2022";"     187";"      11"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2023";"     180";"      10"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2024**";"     173";"      10"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2010";"    2424";"     137"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2011";"    2449";"     138"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2012";"    1959";"     111"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2013";"    1879";"     106"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2014";"    1842";"     104"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2015";"    1799";"     102"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2016";"    1757";"      99"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2017";"    1717";"      97"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2018";"    1672";"      95"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2019";"    1613";"      91"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2020";"    1617";"      91"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2021";"    1631";"      92"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2022";"    1644";"      93"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2023";"    1658";"      93"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2024**";"    1672";"      94"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2010";"    7631";"     432"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2011";"    8020";"     453"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2012";"    8252";"     466"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2013";"    8567";"     484"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2014";"    8608";"     485"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2015";"    8616";"     487"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2016";"    8603";"     486"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2017";"    8493";"     481"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2018";"    8382";"     474"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2019";"    8168";"     462"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2020";"    7894";"     445"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2021";"    7726";"     436"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2022";"    7723";"     436"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2023";"    7698";"     433"
"Biomassa huishoudens, houtkachels";"Totaal energietoepassingen";"2024**";"    7663";"     431"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2010";"       0";"       0"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2011";"       0";"       0"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2012";"       0";"       0"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2013";"       0";"       0"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2014";"      97";"       6"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2015";"     189";"      11"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2016";"     278";"      16"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2017";"     493";"      28"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2018";"     840";"      48"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2019";"    1175";"      67"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2020";"    1503";"      85"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2021";"    1838";"     104"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2022";"    1953";"     110"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2023";"    2064";"     116"
"Biomassa huishoudens, pelletkachels";"Totaal energietoepassingen";"2024**";"    2172";"     122"
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2010";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2011";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2012";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2013";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2014";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2015";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2016";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2017";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2018";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2019";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2020";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2021";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2022";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2023";"";""
"Biomassa huishoudens, houtskoolverbruik";"Totaal energietoepassingen";"2024**";"";""
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2010";"   13557";"     849"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2011";"   11712";"     725"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2012";"   13879";"     895"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2013";"   14754";"     973"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2014";"   16902";"    1105"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2015";"   20543";"    1387"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2016";"   20808";"    1371"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2017";"   20810";"    1318"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2018";"   21191";"    1277"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2019";"   25975";"    1516"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2020";"   27940";"    1578"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2021";"   24560";"    1411"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2022";"   18989";"    1082"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2023";"   24474";"    1391"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2024**";"   24907";"    1408"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2010";"    8481";"     562"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2011";"    6866";"     451"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2012";"    8881";"     613"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2013";"    9539";"     679"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2014";"    9778";"     703"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2015";"   11909";"     900"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2016";"   11738";"     858"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2017";"   11577";"     795"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2018";"   10972";"     698"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2019";"   14059";"     842"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2020";"   14243";"     805"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2021";"   10084";"     594"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2022";"    5091";"     296"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2023";"   13688";"     783"
"Biomassaketels bedrijven, WKK";"Totaal energietoepassingen";"2024**";"   13736";"     780"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2010";"    5076";"     287"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2011";"    4846";"     274"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2012";"    4998";"     282"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2013";"    5215";"     295"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2014";"    7124";"     402"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2015";"    8634";"     488"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2016";"    9070";"     512"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2017";"    9233";"     523"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2018";"   10219";"     578"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2019";"   11916";"     674"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2020";"   13697";"     773"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2021";"   14476";"     816"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2022";"   13898";"     785"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2023";"   10786";"     607"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2024**";"   11171";"     628"
"Totaal biogas";"Totaal energietoepassingen";"2010";"   10233";"     667"
"Totaal biogas";"Totaal energietoepassingen";"2011";"   10184";"     668"
"Totaal biogas";"Totaal energietoepassingen";"2012";"   10815";"     735"
"Totaal biogas";"Totaal energietoepassingen";"2013";"   11335";"     780"
"Totaal biogas";"Totaal energietoepassingen";"2014";"   12268";"     840"
"Totaal biogas";"Totaal energietoepassingen";"2015";"   13075";"     928"
"Totaal biogas";"Totaal energietoepassingen";"2016";"   12658";"     866"
"Totaal biogas";"Totaal energietoepassingen";"2017";"   12127";"     814"
"Totaal biogas";"Totaal energietoepassingen";"2018";"   12653";"     822"
"Totaal biogas";"Totaal energietoepassingen";"2019";"   13633";"     839"
"Totaal biogas";"Totaal energietoepassingen";"2020";"   15495";"     904"
"Totaal biogas";"Totaal energietoepassingen";"2021";"   12898";"     797"
"Totaal biogas";"Totaal energietoepassingen";"2022";"   10050";"     626"
"Totaal biogas";"Totaal energietoepassingen";"2023";"   11201";"     667"
"Totaal biogas";"Totaal energietoepassingen";"2024**";"   11110";"     660"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2010";"    1142";"      74"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2011";"    1020";"      69"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2012";"     880";"      60"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2013";"     726";"      50"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2014";"     686";"      47"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2015";"     610";"      43"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2016";"     475";"      33"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2017";"     494";"      33"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2018";"     376";"      24"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2019";"     368";"      22"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2020";"     322";"      19"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2021";"     324";"      20"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2022";"     336";"      21"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2023";"     297";"      17"
"Biogas uit stortplaatsen";"Totaal energietoepassingen";"2024**";"     251";"      15"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2010";"    1508";"     100"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2011";"    1680";"     110"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2012";"    1748";"     121"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2013";"    1858";"     132"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2014";"    1971";"     140"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2015";"    1940";"     146"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2016";"    2015";"     144"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2017";"    1769";"     125"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2018";"    1963";"     132"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2019";"    2031";"     126"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2020";"    2329";"     133"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2021";"    2157";"     134"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2022";"    1911";"     120"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2023";"    2057";"     120"
"Biogas rioolwaterzuiveringsinstallaties";"Totaal energietoepassingen";"2024**";"    1994";"     116"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2010";"    4990";"     331"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2011";"    4775";"     316"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2012";"    5154";"     355"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2013";"    5059";"     356"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2014";"    5385";"     375"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2015";"    5910";"     428"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2016";"    5642";"     392"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2017";"    5338";"     364"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2018";"    5604";"     371"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2019";"    5995";"     371"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2020";"    7070";"     412"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2021";"    5831";"     361"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2022";"    3971";"     248"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2023";"    4899";"     295"
"Biogas, co-vergisting van mest";"Totaal energietoepassingen";"2024**";"    4904";"     294"
"Overig biogas";"Totaal energietoepassingen";"2010";"    2593";"     163"
"Overig biogas";"Totaal energietoepassingen";"2011";"    2709";"     173"
"Overig biogas";"Totaal energietoepassingen";"2012";"    3033";"     199"
"Overig biogas";"Totaal energietoepassingen";"2013";"    3693";"     243"
"Overig biogas";"Totaal energietoepassingen";"2014";"    4227";"     278"
"Overig biogas";"Totaal energietoepassingen";"2015";"    4615";"     310"
"Overig biogas";"Totaal energietoepassingen";"2016";"    4526";"     298"
"Overig biogas";"Totaal energietoepassingen";"2017";"    4526";"     292"
"Overig biogas";"Totaal energietoepassingen";"2018";"    4710";"     295"
"Overig biogas";"Totaal energietoepassingen";"2019";"    5241";"     319"
"Overig biogas";"Totaal energietoepassingen";"2020";"    5774";"     340"
"Overig biogas";"Totaal energietoepassingen";"2021";"    4587";"     282"
"Overig biogas";"Totaal energietoepassingen";"2022";"    3833";"     238"
"Overig biogas";"Totaal energietoepassingen";"2023";"    3949";"     235"
"Overig biogas";"Totaal energietoepassingen";"2024**";"    3960";"     235"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2010";"    9577";"     518"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2011";"   13438";"     786"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2012";"   13353";"     839"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2013";"   12924";"     850"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2014";"   15102";"     997"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2015";"   13315";"     845"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2016";"   10435";"     693"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2017";"   13483";"     935"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2018";"   22868";"    1604"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2019";"   28437";"    2083"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2020";"   24328";"    1742"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2021";"   27739";"    2204"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2022";"   26557";"    2087"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2023";"   28157";"    2218"
"Vloeibare biotransportbrandstof, totaal";"Totaal energietoepassingen";"2024**";"   46056";"    3693"
"Biobenzine";"Totaal energietoepassingen";"2010";"    5614";"       ."
"Biobenzine";"Totaal energietoepassingen";"2011";"    6231";"       ."
"Biobenzine";"Totaal energietoepassingen";"2012";"    5211";"       ."
"Biobenzine";"Totaal energietoepassingen";"2013";"    5210";"     286"
"Biobenzine";"Totaal energietoepassingen";"2014";"    5379";"     300"
"Biobenzine";"Totaal energietoepassingen";"2015";"    5950";"     323"
"Biobenzine";"Totaal energietoepassingen";"2016";"    4752";"     257"
"Biobenzine";"Totaal energietoepassingen";"2017";"    5399";"     314"
"Biobenzine";"Totaal energietoepassingen";"2018";"    7146";"     415"
"Biobenzine";"Totaal energietoepassingen";"2019";"    8321";"     530"
"Biobenzine";"Totaal energietoepassingen";"2020";"    9481";"     592"
"Biobenzine";"Totaal energietoepassingen";"2021";"    9766";"     720"
"Biobenzine";"Totaal energietoepassingen";"2022";"   10512";"     759"
"Biobenzine";"Totaal energietoepassingen";"2023";"   10781";"     794"
"Biobenzine";"Totaal energietoepassingen";"2024**";"   10752";"     804"
"Biodiesel";"Totaal energietoepassingen";"2010";"    3963";"       ."
"Biodiesel";"Totaal energietoepassingen";"2011";"    7207";"       ."
"Biodiesel";"Totaal energietoepassingen";"2012";"    8142";"       ."
"Biodiesel";"Totaal energietoepassingen";"2013";"    7714";"     565"
"Biodiesel";"Totaal energietoepassingen";"2014";"    9723";"     697"
"Biodiesel";"Totaal energietoepassingen";"2015";"    7365";"     522"
"Biodiesel";"Totaal energietoepassingen";"2016";"    5683";"     436"
"Biodiesel";"Totaal energietoepassingen";"2017";"    8084";"     620"
"Biodiesel";"Totaal energietoepassingen";"2018";"   15722";"    1189"
"Biodiesel";"Totaal energietoepassingen";"2019";"   20116";"    1553"
"Biodiesel";"Totaal energietoepassingen";"2020";"   14847";"    1150"
"Biodiesel";"Totaal energietoepassingen";"2021";"   17973";"    1484"
"Biodiesel";"Totaal energietoepassingen";"2022";"   15167";"    1252"
"Biodiesel";"Totaal energietoepassingen";"2023";"   14730";"    1196"
"Biodiesel";"Totaal energietoepassingen";"2024**";"   30187";"    2444"
"Biokerosine";"Totaal energietoepassingen";"2010";"";""
"Biokerosine";"Totaal energietoepassingen";"2011";"";""
"Biokerosine";"Totaal energietoepassingen";"2012";"";""
"Biokerosine";"Totaal energietoepassingen";"2013";"";""
"Biokerosine";"Totaal energietoepassingen";"2014";"";""
"Biokerosine";"Totaal energietoepassingen";"2015";"";""
"Biokerosine";"Totaal energietoepassingen";"2016";"";""
"Biokerosine";"Totaal energietoepassingen";"2017";"";""
"Biokerosine";"Totaal energietoepassingen";"2018";"";""
"Biokerosine";"Totaal energietoepassingen";"2019";"";""
"Biokerosine";"Totaal energietoepassingen";"2020";"";""
"Biokerosine";"Totaal energietoepassingen";"2021";"";""
"Biokerosine";"Totaal energietoepassingen";"2022";"     878";"      76"
"Biokerosine";"Totaal energietoepassingen";"2023";"    2646";"     229"
"Biokerosine";"Totaal energietoepassingen";"2024**";"    5117";"     444"
